學校代碼,學校名稱,lat,lng
351402,臺北市開南高中,25.0424386,121.5218475
361401,私立稻江高商,25.0643302,121.5119253
383401,市立木柵高工,24.9968638,121.5726322
393401,市立南港高工,25.0563397,121.6072921
403401,市立內湖高工,25.0794378,121.5753706
411401,私立華岡藝校,25.1371929,121.5491247
413401,市立士林高商,25.0945436,121.5160767
421404,私立惇敘工商,25.1446525,121.5271635
521401,私立中華藝校,22.622051,120.3287805
533401,市立海青工商,22.6752655,120.284936
533402,市立三民家商,22.666946,120.3011952
551402,私立樹德家商,22.643005,120.32803
553401,市立高雄高工,22.6503468,120.3264388
563401,市立高雄高商,22.625573,120.309023
581401,私立國際商工,22.6212347,120.326302
581402,私立三信家商,22.622051,120.3287805
593401,市立中正高工,22.6107875,120.3175699
610405,國立高餐大附屬餐旅中學,22.566209,120.371733
710401,國立金門農工,24.441624,118.423344
351B09,私立南華高中進修學校,25.0156175,121.5311921
361B09,私立志仁中學進修學校,25.0522051,121.5188456
011C71,私立光華高商進修學校,25.0030663,121.4548612
210C01,國立成功大學附設高工進修學校,22.9991111,120.2158342
070F01,國立和美實驗學校,24.105286,120.4914278
543F01,市立楠梓特殊學校,22.7283615,120.3133528
031G91,私立宏德高商進修學校,24.962135,121.214913
070G92,國立二林工商進校分校,23.9011139,120.3774756
111G91,私立樹德高中進修學校,22.643005,120.32803
151G91,私立正德高中進修學校,24.0587655,120.5184684
03C301,誠正中學桃園分校,24.8663014,120.980387
04C301,誠正中學,24.8663014,120.980387
07C301,誠正中學彰化分校,23.8768466,120.6077288
12C301,明陽中學,22.7612808,120.3726291
44320,縣立湖口高中,24.8906561,121.0529741
50303,國立苗栗高中,24.5594466,120.816554
50310,國立竹南高中,24.684093,120.874663
50314,國立卓蘭高中,24.312708,120.831961
50315,國立苑裡高中,24.4479426,120.6560924
51302,私立君毅高中,24.7010062,120.8830877
51305,私立大成高中,24.6824956,120.9384643
51306,私立建臺高中,24.5602456,120.8149379
51307,私立全人實驗高中,24.3058986,120.8622756
54308,縣立三義高中,24.4090224,120.7655713
54309,縣立苑裡高中,24.438008,120.663488
54317,縣立興華高中,24.6858788,120.9363403
54333,縣立大同高中,22.678426,120.477654
60322,國立興大附中,24.1099288,120.682895
60323,國立中科實驗高級中學,24.2303236,120.6260535
61301,財團法人常春藤高中,24.195178,120.7178368
61306,私立明台高中,24.0614589,120.7031172
61309,私立致用高中,24.3407676,120.6304738
61310,私立大明高中,24.116227,120.685708
61311,私立嘉陽高中,24.2651602,120.5831409
61313,私立明道高中,24.1068736,120.6361535
61314,私立僑泰高中,24.1117897,120.6669624
61315,私立華盛頓高中,24.1581869,120.74518
61316,私立青年高中,24.086958,120.693459
61317,私立弘文高中,24.2261308,120.704606
61318,私立立人高中,24.1057001,120.691521
61319,私立玉山高中,24.2499848,120.8438855
61321,私立慈明高中,24.1052061,120.7272563
61322,華德福大地實驗學校,24.1020885,120.6276741
63303,市立大甲高中,24.3419225,120.6217338
63305,市立清水高中,24.2652825,120.5740941
63312,市立豐原高中,24.2558681,120.7414285
64308,市立后綜高中,24.3064604,120.7231399
64324,市立大里高中,24.0951235,120.6789632
64328,市立新社高中,24.2386141,120.806864
64336,市立長億高中,24.1138805,120.7210106
64342,市立中港高中,24.2442409,120.5419946
64350,市立龍津高中,24.204669,120.521466
70301,國立彰化女中,24.081169,120.543736
70304,國立員林高中,23.9622852,120.5637442
70307,國立彰化高中,24.0722391,120.5511591
70316,國立鹿港高中,24.06098,120.4236821
70319,國立溪湖高中,23.9690638,120.4866598
71311,私立精誠高中,24.0731321,120.5272945
71317,私立文興高中,23.867111,120.5868495
71318,財團法人正德高中,24.0587655,120.5184684
74308,縣立彰化藝術高中,24.078871,120.554266
74313,縣立二林高中,23.8901258,120.359044
74323,縣立和美高中,24.1132428,120.49367
74328,縣立田中高中,23.8555119,120.5887042
74339,縣立成功高中,23.9515136,120.4718336
80302,國立南投高中,23.91009,120.6803516
80305,國立中興高中,23.9505197,120.6951144
80307,國立竹山高中,23.7618343,120.6812718
80308,國立暨大附中,23.9717773,120.9460392
81311,私立五育高中,23.8929479,120.6719347
81312,私立三育高中,23.9084174,120.9350563
81313,私立弘明實驗高中,23.8576862,120.6972649
81314,私立普台高中,23.9942691,120.93693
