"","Estimate","Std. Error","t value","Pr(>|t|)"
"是否為店面TRUE:週數差-102",293.250219524703,114.982127697082,2.55039826969688,0.0107622617698656
"是否為店面TRUE:週數差-101",24.1313391275346,105.199943711235,0.229385475659313,0.818570044847587
"是否為店面TRUE:週數差-100",-96.9720092948124,114.663659354477,-0.845708307590537,0.397718596935266
"是否為店面TRUE:週數差-99",73.8320537814188,100.640131019439,0.733624380587875,0.463180340323064
"是否為店面TRUE:週數差-98",24.629333832222,114.790122722266,0.214559695974998,0.830111292271237
"是否為店面TRUE:週數差-97",-121.686589230577,132.403698811876,-0.91905732485218,0.358068995374437
"是否為店面TRUE:週數差-96",198.278786276419,114.665961110593,1.72918610157711,0.0837805352107143
"是否為店面TRUE:週數差-95",153.822859451407,112.309693325726,1.36963119474722,0.170806782558942
"是否為店面TRUE:週數差-94",-81.5592741948006,112.42533385126,-0.725452808552072,0.468176894593484
"是否為店面TRUE:週數差-93",136.529124582287,122.234603808173,1.11694332315706,0.264022682961542
"是否為店面TRUE:週數差-92",-23.5589750035151,117.954688877135,-0.199729024999207,0.841693136489865
"是否為店面TRUE:週數差-91",225.65191361857,105.423619138477,2.14043034627913,0.0323237098152314
"是否為店面TRUE:週數差-90",-48.2609365673549,178.976649565227,-0.269649346350997,0.78743088804549
"是否為店面TRUE:週數差-89",6.13424858175975,108.54886067321,0.0565114045759275,0.954934583996176
"是否為店面TRUE:週數差-88",214.615489161149,126.362561355569,1.69841040620604,0.0894351096729366
"是否為店面TRUE:週數差-87",-91.3976182773899,109.004036604219,-0.838479207969556,0.401764699961713
"是否為店面TRUE:週數差-86",173.079313954908,106.261291378101,1.6288086819786,0.103358366495044
