"coef","Estimate","Std. Error","t value","Pr(>|t|)","2.5 %","97.5 %"
"週數差-337",-60.0194113474499,28.9109814322542,-2.07600739836836,0.0378972105469449,-116.68495497086,-3.35386772403974
"週數差-336",-61.9474787303979,28.547809196042,-2.16995561042865,0.0300138394727581,-117.901204519394,-5.99375294140175
"週數差-335",-27.5020219225025,28.5478538790464,-0.963365654000651,0.335367660670251,-83.4558352902182,28.4517914452131
"週數差-334",-51.3445468440537,27.2435905139846,-1.88464684262882,0.0594820169716269,-104.742003113256,2.05290942514885
"週數差-333",-64.5716567740046,28.8208198420785,-2.24045176812527,0.0250649923016435,-121.060483618248,-8.08282992976116
"週數差-332",-54.3017156903929,31.3410964769311,-1.73260420963134,0.0831708111623421,-115.730286483833,7.12685510304681
"週數差-331",-35.6488565849883,27.7437055045238,-1.28493494061835,0.198819624906368,-90.0265385818965,18.7288254119199
"週數差-330",-24.7927431945325,29.1106417144103,-0.851672850010025,0.394398849338771,-81.8496211092011,32.2641347201361
"週數差-329",-57.9250139924868,28.7177217666162,-2.01704767750148,0.0436946647745759,-114.211768537445,-1.63825944752832
"週數差-328",-59.3540770849224,27.6529542677104,-2.14639190121644,0.0318454361286668,-113.553886594846,-5.15426757499886
"週數差-327",-47.8326780165457,28.122006901956,-1.70089845235116,0.0889668680884827,-102.951831014334,7.28647498124243
"週數差-326",-51.2817090280204,35.9359373745711,-1.42703134451442,0.15357569125596,-121.716171162021,19.15275310598
"週數差-325",-37.3786743077283,34.3644629643115,-1.08771303501955,0.276725867882192,-104.733045509627,29.9756968941707
"週數差-324",-42.3644471982602,26.5736374901635,-1.59422838570526,0.110889781033345,-94.448795076939,9.71990068041853
"週數差-323",-40.7607135744232,27.9672330253764,-1.45744534460876,0.144998346827991,-95.5765096669594,14.0550825181129
"週數差-322",-37.1152629306038,26.8657881508181,-1.38150657342519,0.167128034001722,-89.7722263064328,15.5417004452252
"週數差-321",-51.3822473120317,27.8784468727732,-1.84308141506308,0.0653217007971178,-106.024022483996,3.25952785993211
"週數差-320",-18.856153139245,25.2859818323879,-0.745715680104337,0.455841897277126,-68.4166950371896,30.7043887586996
"週數差-319",-48.2568961980514,27.3020620392766,-1.767518370174,0.0771461733828741,-101.768956697308,5.25516430120543
"週數差-318",-18.1148308763222,26.8180897338266,-0.675470589296794,0.499379247647039,-70.6783053218244,34.44864356918
"週數差-317",-48.862530253801,27.0573656726612,-1.80588645786651,0.0709407275982846,-101.894985705079,4.16992519747694
