"coef","estimate","se","t_value","lower","upper","NA"
"村里大同區老師里",-190.23965923196,43.1664366655483,-4.40711983492936,1.04920074473541e-05,-274.845880623117,-105.633437840803
"村里大同區至聖里",-194.758590320623,20.4024066109111,-9.54586358535109,1.39407581129051e-21,-234.747309890168,-154.769870751077
"村里大同區延平里",-205.552788535123,28.0427836965228,-7.32997090301739,2.32840894424327e-13,-260.516648170679,-150.588928899566
"村里大同區保安里",-225.59825118158,32.1347310517773,-7.02038709513652,2.23393027726714e-12,-288.582328157335,-162.614174205825
"村里大同區南芳里",-273.669270035705,28.2466607573528,-9.68855300761409,3.49021207150332e-22,-329.032728736591,-218.305811334819
"村里大同區建功里",-161.944447572948,17.5923260299554,-9.20540281581849,3.50046855941678e-20,-196.42540884404,-127.463486301856
"村里大同區建明里",-57.0909048582376,15.2071090312481,-3.75422473403231,0.000174028666030974,-86.8968405064794,-27.2849692099958
"村里大同區建泰里",-107.123215315697,17.9264202314254,-5.97571706636154,2.30257099028493e-09,-142.259001264445,-71.9874293669494
"村里大同區星明里",-119.185859318489,19.6370371685141,-6.06944205970092,1.29056102762009e-09,-157.674454682945,-80.697263954034
"村里大同區重慶里",-212.334176224802,30.3926924730351,-6.98635622405578,2.84792440903249e-12,-271.903857363186,-152.764495086418
"村里大同區國順里",-265.215823139827,46.9604485938427,-5.64764245405018,1.6333354085866e-08,-357.258308396196,-173.173337883458
"村里大同區國慶里",-234.258577755429,50.3760050518287,-4.65020156946576,3.32255591989326e-06,-332.99555410675,-135.521601404107
"村里大同區揚雅里",-181.552237381777,30.0945622314269,-6.03272564610318,1.62076480969692e-09,-240.537583208439,-122.566891555116
"村里大同區斯文里",-233.791078625032,32.6451422026189,-7.16158861168253,8.05812443181369e-13,-297.775561521786,-169.806595728278
"村里大同區景星里",-223.601607185564,48.2207826853031,-4.63703811372838,3.54117088503629e-06,-318.114347422558,-129.08886694857
"村里大同區朝陽里",-214.124216248715,23.9791352142829,-8.92960543969803,4.38266793030402e-19,-261.123324338804,-167.125108158625
"村里大同區隆和里",-355.517142078438,32.5372449567177,-10.9264672700888,9.10188162121114e-28,-419.290146359411,-291.744137797465
"村里大同區蓬萊里",-201.052919749085,21.0027223407174,-9.5727075989244,1.07598115710141e-21,-242.21825822591,-159.88758127226
"村里大同區鄰江里",-206.2961145413,43.211992580359,-4.77404771737064,1.80947986538578e-06,-290.991625531319,-121.600603551281
"村里大同區雙連里",-65.0489318477924,19.0846465697922,-3.40844309638691,0.000653739423116798,-102.454841568029,-27.6430221275554
"村里大安區大學里",-108.327461339682,23.8538717450994,-4.54129470038495,5.60090869055204e-06,-155.081053014134,-61.57386966523
"村里大安區仁愛里",20.9361291312037,19.6569617358755,1.06507452232527,0.286846125556737,-17.5915183878312,59.4637766502385
"村里大安區仁慈里",-26.9904925173207,22.4743958154749,-1.20094407604658,0.229777229091716,-71.040311193092,17.0593261584505
"村里大安區古風里",-96.0089173752171,29.7934287853585,-3.22248634310929,0.00127145218421206,-154.40404160903,-37.613793141404
"村里大安區古莊里",-125.366747152926,21.2060657112903,-5.91183432418489,3.39985307131363e-09,-166.930638662109,-83.8028556437436
"村里大安區正聲里",111.127623274625,19.9600917877695,5.56749059354119,2.59441684506983e-08,72.0058408150679,150.249405734183
"村里大安區民炤里",-86.1881309130376,22.2208690027345,-3.87870208417282,0.000105117611213952,-129.741037003378,-42.6352248226971
"村里大安區民輝里",-110.445963500876,23.0040384399654,-4.80115540534813,1.58099611253193e-06,-155.53388178846,-65.3580452132923
"村里大安區永康里",55.9429718232246,26.7243281724182,2.09333501154063,0.0363230873991076,3.56328518371745,108.322658462732
"村里大安區光明里",-18.2043295494284,23.1726663817516,-0.78559494403994,0.432107663240723,-63.6227586245029,27.2140995256462
"村里大安區光武里",137.999930732663,19.2651417933232,7.16319309834981,7.9644030073158e-13,100.240250351196,175.75961111413
"村里大安區光信里",-63.2947596439675,18.6888041004732,-3.38677420468894,0.00070761036899864,-99.9248180736587,-26.6647012142762
"村里大安區全安里",-81.4988150285423,20.5666909976348,-3.96266054845258,7.41974524491622e-05,-121.8095320171,-41.1880980399848
"村里大安區住安里",-25.5128492203098,21.545428288534,-1.18414212419659,0.236361095762913,-67.7418914243393,16.7161929837196
"村里大安區車層里",62.5380215940432,22.6992699012712,2.75506753591846,0.00586961904285687,18.0474496813202,107.028593506766
"村里大安區和安里",-58.0454235764347,21.4397515763958,-2.70737388768722,0.00678353821565799,-100.067339411143,-16.0235077417261
